Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.9099999999999999,0.2565084423445148
100% Corpus,9,0.31,symmetric,0.2242274019363151
100% Corpus,9,0.61,0.01,0.20548968823098523
100% Corpus,9,0.61,0.31,0.22949739092993152
100% Corpus,9,0.61,0.61,0.2263581869940765
100% Corpus,9,0.61,0.9099999999999999,0.22597223448205592
100% Corpus,9,0.61,symmetric,0.23727204112593261
100% Corpus,9,0.9099999999999999,0.01,0.20434252307976375
100% Corpus,9,0.9099999999999999,0.31,0.23459049415489414
100% Corpus,9,0.9099999999999999,0.61,0.23811259600415072
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.23910724173198716
100% Corpus,9,0.9099999999999999,symmetric,0.21346948076983355
100% Corpus,9,symmetric,0.01,0.21336368096679434
100% Corpus,9,symmetric,0.31,0.28417215044931027
100% Corpus,9,symmetric,0.61,0.3214643937794109
100% Corpus,9,symmetric,0.9099999999999999,0.3634834732113345
100% Corpus,9,symmetric,symmetric,0.24940557496667404
100% Corpus,9,asymmetric,0.01,0.2095410981838042
100% Corpus,9,asymmetric,0.31,0.4781881090942166
100% Corpus,9,asymmetric,0.61,0.5473451603907411
100% Corpus,9,asymmetric,0.9099999999999999,0.5509405408483705
100% Corpus,9,asymmetric,symmetric,0.3140277893149189
100% Corpus,10,0.01,0.01,0.2172730713346691
100% Corpus,10,0.01,0.31,0.28265783615988405
100% Corpus,10,0.01,0.61,0.35425367430430826
100% Corpus,10,0.01,0.9099999999999999,0.3851018025799783
100% Corpus,10,0.01,symmetric,0.22592494959660986
100% Corpus,10,0.31,0.01,0.20108449007713974
100% Corpus,10,0.31,0.31,0.23240032176336944
100% Corpus,10,0.31,0.61,0.2245582006287985
100% Corpus,10,0.31,0.9099999999999999,0.250366431480075
100% Corpus,10,0.31,symmetric,0.2406195768235529
100% Corpus,10,0.61,0.01,0.19031173301078802
100% Corpus,10,0.61,0.31,0.2163046976992454
100% Corpus,10,0.61,0.61,0.22472399482872044
100% Corpus,10,0.61,0.9099999999999999,0.22004509197629715
100% Corpus,10,0.61,symmetric,0.21564630497006196
100% Corpus,10,0.9099999999999999,0.01,0.20797363138197106
100% Corpus,10,0.9099999999999999,0.31,0.24188744108166355
100% Corpus,10,0.9099999999999999,0.61,0.2354903577858337
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.2321224172066505
100% Corpus,10,0.9099999999999999,symmetric,0.24670442994938377
100% Corpus,10,symmetric,0.01,0.2183188061756169
100% Corpus,10,symmetric,0.31,0.2538877123302428
100% Corpus,10,symmetric,0.61,0.3231721231810231
100% Corpus,10,symmetric,0.9099999999999999,0.3879661642452922
100% Corpus,10,symmetric,symmetric,0.22949762886743774
100% Corpus,10,asymmetric,0.01,0.21056908448592854
100% Corpus,10,asymmetric,0.31,0.45161861052390745
100% Corpus,10,asymmetric,0.61,0.5354126550039611
100% Corpus,10,asymmetric,0.9099999999999999,0.5625035923567634
100% Corpus,10,asymmetric,symmetric,0.24645338402723485
