Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,0.9099999999999999,0.31,0.20107806306087328
75% Corpus,8,0.9099999999999999,0.61,0.2042981014508496
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.20610540240649053
75% Corpus,8,0.9099999999999999,symmetric,0.20643769209831928
75% Corpus,8,symmetric,0.01,0.21274298950045661
75% Corpus,8,symmetric,0.31,0.19993724404689772
75% Corpus,8,symmetric,0.61,0.3122936685378034
75% Corpus,8,symmetric,0.9099999999999999,0.4068832621413
75% Corpus,8,symmetric,symmetric,0.19366669614516516
75% Corpus,8,asymmetric,0.01,0.1945826816463186
75% Corpus,8,asymmetric,0.31,0.44673506060927193
75% Corpus,8,asymmetric,0.61,0.5004103771028358
75% Corpus,8,asymmetric,0.9099999999999999,0.5336261223505933
75% Corpus,8,asymmetric,symmetric,0.3282366098494991
75% Corpus,9,0.01,0.01,0.22160731390516022
75% Corpus,9,0.01,0.31,0.23872171887239876
75% Corpus,9,0.01,0.61,0.3597273817535684
75% Corpus,9,0.01,0.9099999999999999,0.4822302780281658
75% Corpus,9,0.01,symmetric,0.22696453411118991
75% Corpus,9,0.31,0.01,0.19470908162076075
75% Corpus,9,0.31,0.31,0.22146671735822104
75% Corpus,9,0.31,0.61,0.2332034917005696
75% Corpus,9,0.31,0.9099999999999999,0.245199508682339
75% Corpus,9,0.31,symmetric,0.20525362538994402
75% Corpus,9,0.61,0.01,0.1998592738806389
75% Corpus,9,0.61,0.31,0.20979699055669526
75% Corpus,9,0.61,0.61,0.2240382016693428
75% Corpus,9,0.61,0.9099999999999999,0.22698642197818739
75% Corpus,9,0.61,symmetric,0.2123055292414701
75% Corpus,9,0.9099999999999999,0.01,0.1979460758725727
75% Corpus,9,0.9099999999999999,0.31,0.21312382990471634
75% Corpus,9,0.9099999999999999,0.61,0.2113013130777236
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.21726798993016416
75% Corpus,9,0.9099999999999999,symmetric,0.22093663426341403
75% Corpus,9,symmetric,0.01,0.21019689212141898
75% Corpus,9,symmetric,0.31,0.26376410248053006
75% Corpus,9,symmetric,0.61,0.31242715788826086
75% Corpus,9,symmetric,0.9099999999999999,0.41609592382366817
